Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Weight,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,milestone,rationale
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962,0.05%,0.4,0.75,0.55,0.4,0.75,0.47,Serious,Continued enhancement of financial infrastructure through technology modernization and expanded service offerings,"Broadridge demonstrates seriousness through substantial contributions to US financial infrastructure. The company processes trillions in daily transactions (positive E), significantly improves financial system efficiency through technology modernization (strong v), and enhances coordination between market participants (positive alpha). Its investments in blockchain, cloud technologies, and acquisitions represent committed activation energy toward modernizing critical financial infrastructure. The company's work reduces friction in capital markets while improving transparency and governance mechanisms, creating tangible thermodynamic efficiency in the US financial system."
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,1.76%,0.75,0.85,0.6,0.75,0.85,0.6,Serious,Maintaining and growing its position as a major economic stabilizer and capital allocator in the US economy,"Berkshire Hathaway demonstrates seriousness through its substantial capital allocation (E), efficient operational model (v), and cultural influence (α). It adds resources to the US economy through strategic investments and acquisitions, maintains an efficient corporate structure that maximizes capital deployment while minimizing bureaucracy, and promotes a long-term, rational approach to business that improves coordination within the economic system. Its proven ability to deploy capital during crises (2008, 2020) demonstrates both capacity and willingness to stabilize the broader economic system when needed."
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939,0.05%,0.35,0.45,0.3,0.32,0.43,0.26,Serious,Continued growth as a leading insurance brokerage and risk management firm in the US market,"Brown & Brown demonstrates seriousness through its substantial contribution to the US economic infrastructure via risk management services that enable other businesses to operate more efficiently. Their consistent growth through strategic acquisitions adds resources to the system (E), while their technological investments and specialized expertise improve the efficiency of risk distribution (v). Their organizational structure and industry standardization efforts contribute positively to coordination within the insurance ecosystem (α). Their sustained commitment of capital and expertise toward continued market expansion shows sufficient activation energy to achieve their milestones."
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,885725,1979,0.23%,0.65,0.7,0.4,0.49,0.6,0.28,Serious,"Continued expansion of medical device innovation and market leadership in cardiovascular, endoscopy, and neuromodulation technologies","Boston Scientific demonstrates seriousness through substantial resource commitment to medical innovation, creating net new value in the US healthcare system. Their manufacturing infrastructure and R&D capabilities significantly improve efficiency in treating complex medical conditions, reducing hospital stays and improving outcomes per unit of healthcare resources. Their coordination with medical institutions, regulatory bodies, and healthcare providers creates ordered networks that effectively translate innovation into clinical practice, avoiding both excessive rigidity and chaotic implementation."
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985,0.21%,0.75,0.65,0.3,0.75,0.65,0.24,Serious,Continued expansion of investment portfolio and infrastructure assets while maintaining market leadership in alternative investments,"Blackstone demonstrates seriousness through its massive capital deployment into US infrastructure, real estate, and businesses, directly increasing available resources within the system. Its operational improvements across portfolio companies enhance efficiency of resource utilization, while its institutional framework provides coordination benefits through standardized investment processes and governance. Blackstone's scale allows it to undertake projects requiring substantial activation energy that smaller entities cannot, particularly in infrastructure and technology investments that have positive externalities beyond direct returns."
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970,0.02%,0.4,0.65,0.3,0.25,0.55,0.21,Serious,Continued growth as a major commercial real estate investment trust with focus on sustainability and operational efficiency,"BXP demonstrates seriousness through substantial capital deployment in commercial real estate development that adds physical infrastructure to the U.S. economy. Their investments in energy-efficient buildings and smart technologies significantly improve resource utilization efficiency across millions of square feet of commercial space. Their coordination of complex development projects and sustainability initiatives creates ordered systems that reduce entropy in urban environments. With sufficient capital resources and demonstrated ability to complete large-scale projects, BXP has the activation energy necessary to achieve meaningful impact in their sector."
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,0.29%,0.6,0.4,-0.2,0.54,0.34,-0.14,Anti-serious,Maintaining position as a systemically important financial institution while adapting to evolving regulatory and economic conditions,"Citigroup provides substantial resources to the US economy through lending, capital markets, and financial infrastructure (positive E). It has invested in technological and operational efficiency improvements that enhance the financial system's functioning (positive v). However, its repeated regulatory violations, risk management failures, and contribution to systemic instability during crises have increased disorder within the financial system (negative alpha). This combination of resource provision and infrastructure development with destabilizing behaviors creates an anti-serious vector, as the negative coordination effects undermine the positive contributions."
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919,0.01%,0.45,0.55,0.2,0.34,0.47,0.12,Serious,Maintaining and expanding market position as a leading food manufacturer while adapting to changing consumer preferences for healthier options,"Conagra Brands demonstrates seriousness through substantial resource contribution to the US food system (E_adj: 0.34), significant infrastructure and efficiency improvements in food production (v_adj: 0.47), and modest positive impact on social coordination through employment and community engagement (alpha_adj: 0.12). The company has committed substantial capital to modernizing production facilities, improving supply chains, and developing products that align with changing consumer preferences. While not revolutionary, Conagra's incremental improvements in food manufacturing efficiency and sustainability represent meaningful contributions to the US food system's resilience and evolution."
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971,0.06%,0.65,0.7,-0.3,0.52,0.6,-0.21,Anti-serious,Maintaining reliable healthcare supply chain while addressing opioid crisis accountability,"Cardinal Health contributes substantial resources to the US healthcare system through its massive distribution network and supply chain infrastructure, scoring positively on energy and efficiency dimensions. However, its significant negative impact on social order through its role in the opioid epidemic (requiring billions in settlement payments) demonstrates how it prioritized short-term profits over long-term system health. Despite its critical infrastructure role and attempts at remediation, the company's actions created disorder that continues to reverberate through communities, healthcare systems, and regulatory frameworks."
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,"2020 (1915, United Technologies spinoff)",0.08%,0.65,0.75,0.4,0.52,0.68,0.3,Serious,"Continued leadership in HVAC, refrigeration, and building solutions with focus on sustainability and energy efficiency","Carrier Global demonstrates seriousness through substantial contributions to US infrastructure efficiency and resource optimization. The company's HVAC and refrigeration technologies directly improve energy utilization (v dimension) across millions of buildings, while its R&D investments and manufacturing create tangible resources (E dimension). Its building automation systems and industry standards improve coordination among building systems and supply chains (alpha dimension). With significant committed capital and workforce, Carrier has the activation energy to achieve meaningful improvements in building efficiency and sustainability, addressing a physical challenge (energy consumption) rather than merely a social one."
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925,0.39%,0.75,0.8,0.4,0.64,0.72,0.28,Serious,Maintaining global leadership in heavy equipment manufacturing while transitioning to more sustainable operations,"Caterpillar demonstrates seriousness through substantial contributions to U.S. economic resources via manufacturing output, exports, and job creation (E). Its extensive manufacturing infrastructure, R&D investments, and technological innovations significantly enhance the nation's industrial efficiency and capacity (v). The company provides moderate coordination benefits through supply chain integration and standardization of equipment across industries, though this is tempered by some offshoring and tax optimization strategies (α). Caterpillar commits substantial resources toward maintaining U.S. industrial leadership while beginning transition to more sustainable operations."
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,0.19%,0.6,0.7,0.4,0.6,0.7,0.34,Serious,Maintaining and expanding comprehensive insurance coverage for businesses and individuals across the United States while managing climate-related risks,"Chubb Limited demonstrates seriousness through substantial resource commitment to the US insurance market, providing critical risk transfer mechanisms that enable economic activity. Its infrastructure of underwriting expertise, claims processing capabilities, and distribution networks significantly improve the efficiency of risk management across multiple sectors. While its coordination impact is more modest, Chubb's standardized policies, regulatory compliance frameworks, and catastrophe response systems provide structure that reduces disorder in economic recovery after adverse events."
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973,0.04%,0.45,0.7,0.55,0.45,0.7,0.47,Serious,Maintaining and expanding its position as a leading global exchange operator while enhancing market infrastructure and financial innovation,"Cboe Global Markets demonstrates seriousness through substantial contributions to US financial infrastructure. It has committed billions in capital to expand market access (E dimension), significantly improved trading efficiency through technological innovation and product development (v dimension), and enhanced market coordination through standardized trading protocols and risk management tools (alpha dimension). Its creation of the VIX index alone has provided a critical coordination mechanism for market participants to gauge and hedge volatility, improving system-wide resilience."
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906,0.08%,0.45,0.7,0.3,0.32,0.6,0.18,Serious,Continued leadership in commercial real estate services with expanded technological integration and sustainability initiatives,"CBRE Group demonstrates seriousness through its substantial impact on US commercial real estate infrastructure. The company directs significant capital flows (E dimension) into productive real estate assets while its management services markedly improve resource utilization efficiency (v dimension) across millions of square feet of commercial property. Their standardized processes, technological systems, and coordination services provide moderate improvements to system order (alpha dimension). Their established position and continued investment in technological and sustainability initiatives provide sufficient activation energy to maintain their trajectory toward the next milestone."
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994,0.07%,0.75,0.85,0.4,0.6,0.77,0.28,Serious,Expansion of 5G infrastructure nationwide to support next-generation wireless communications,Crown Castle demonstrates seriousness through substantial capital investment in physical communications infrastructure that directly increases the resource capacity (E) of the US telecommunications system. Their specialized infrastructure significantly improves the efficiency (v) of wireless networks by enabling higher data throughput and lower latency. Their standardized deployment approaches and coordination with multiple carriers contributes positively to system order (α) by creating coherent network architecture across regions. Their committed capital expenditures and established regulatory relationships provide sufficient activation energy to achieve meaningful infrastructure milestones.
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972,0.06%,0.45,0.3,0.55,0.45,0.3,0.55,Serious,Annual celebration of Carnival season across various US cities with economic and cultural impact,"Carnival demonstrates seriousness through its consistent generation of economic resources (tourism revenue, job creation), infrastructure utilization (seasonal activation of urban spaces, hospitality infrastructure), and social coordination (community organizations, volunteer mobilization). It has successfully maintained cultural traditions over generations while adapting to contemporary contexts. The substantial economic impact and volunteer commitment demonstrate sufficient activation energy to sustain the system. Carnival's persistence across multiple US cities for over a century indicates a thermodynamically viable cultural-economic complex."
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988,0.15%,0.75,0.85,0.6,0.6,0.81,0.51,Serious,Maintaining US semiconductor design leadership through continued EDA software innovation and AI integration,"Cadence Design Systems demonstrates seriousness through substantial contributions to US semiconductor capabilities. It adds resources (E) by enabling billions in semiconductor value creation and supporting the domestic chip industry. Its infrastructure impact (v) is significant through providing critical design tools that improve efficiency and enable technological advancement. Cadence enhances order (α) by standardizing design methodologies and fostering collaboration between chip designers, manufacturers, and researchers. Its continued innovation in EDA tools directly supports US technological leadership against international competition."
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1402057,1984,0.03%,0.65,0.78,0.45,0.59,0.74,0.38,Serious,Continued leadership in IT solutions integration and digital transformation for US businesses and public sector,"CDW Corporation demonstrates seriousness through substantial resource allocation to the US technology ecosystem (E_adj: 0.59), significantly enhancing infrastructure efficiency through IT solutions integration (v_adj: 0.74), and moderately improving coordination among system components through standardization and technical support (alpha_adj: 0.38). Their $21B+ annual revenue and strategic acquisitions provide sufficient activation energy to achieve continued market leadership. CDW's role in enabling digital transformation across industries creates tangible thermodynamic benefits by reducing friction in information flows and optimizing resource utilization throughout the US economy."
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999,0.20%,0.75,0.65,0.4,0.53,0.52,0.24,Serious,Expanding clean energy generation capacity while maintaining grid reliability through nuclear power and renewable integration,"Constellation Energy demonstrates seriousness through its substantial contribution to US energy resources via carbon-free nuclear power generation (E_adj: 0.53), improving system efficiency through life extension of existing nuclear plants and integration with renewables (v_adj: 0.52), and enhancing coordination within the energy system through reliability services and partnerships (alpha_adj: 0.24). The company has committed significant capital and expertise to maintain critical energy infrastructure that would otherwise be at risk of premature closure, directly supporting US energy security and decarbonization goals."
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,0.02%,0.7,0.6,0.3,0.56,0.51,0.21,Serious,Maintaining position as leading nitrogen fertilizer manufacturer while transitioning to clean energy initiatives,"CF Industries demonstrates seriousness through substantial positive contributions to all three dimensions. It adds critical resources to the US system through large-scale nitrogen fertilizer production essential for food security (E). The company improves system efficiency through advanced manufacturing facilities and investments in cleaner production technologies (v). Its coordination of complex supply chains and commitment to balancing agricultural productivity with environmental sustainability improves system order (α). With substantial committed resources toward its next milestone, CF Industries shows the capacity to execute its serious direction."
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,0.04%,0.35,0.4,0.25,0.28,0.34,0.18,Serious,Maintaining stability and growth as a regional bank while adapting to digital transformation in financial services,"Citizens Financial Group demonstrates seriousness through its substantial resource deployment (acquisitions, lending capital), infrastructure improvements (digital banking platforms, branch modernization), and coordination activities (community investment, regulatory compliance). Its acquisition strategy adds tangible resources to the US financial system while its digital transformation improves efficiency of capital deployment. Though not transformative at a national scale, Citizens provides meaningful financial infrastructure in its regions of operation."
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,0.04%,0.35,0.4,0.15,0.28,0.34,0.11,Serious,Continued growth and market expansion in consumer packaged goods while maintaining sustainability initiatives,"Church & Dwight demonstrates seriousness through consistent resource generation via manufacturing facilities, employment, and tax contributions to the US economy. Their infrastructure investments improve efficiency through modernized production facilities and supply chain optimization. While their impact on social coordination is modest, they maintain stable employment and manufacturing practices that contribute to economic order. Their long-term presence and continued growth in US manufacturing represents a substantive commitment to maintaining domestic production capacity in an era of offshoring."
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,0.02%,0.65,0.7,0.4,0.39,0.53,0.2,Serious,Maintaining and expanding logistics leadership while adapting to technological disruption in supply chain management,"C.H. Robinson demonstrates seriousness through substantial contributions to US logistics infrastructure. Their nationwide network adds significant resources to the system (E) by connecting producers to markets efficiently. Their technology platform and operational processes improve conversion efficiency (v) by optimizing freight matching and reducing empty miles. Their coordination of a fragmented carrier base improves system order (α) by reducing friction in supply chains. While facing digital disruption challenges, they've committed substantial resources toward technological adaptation, showing capacity to reach their next milestone of digital transformation while maintaining network advantages."
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,0.06%,0.3,0.1,-0.4,0.2,0.07,-0.27,Anti-serious,Nationwide expansion of broadband infrastructure with improved service quality and customer satisfaction,"Charter Communications demonstrates mixed seriousness in the US telecommunications landscape. While adding substantial resources through infrastructure investment (positive E), their efficiency improvements are minimal (low v) due to persistent service issues. Most critically, they actively increase system disorder (negative alpha) through anti-competitive practices, lobbying against municipal broadband, poor customer relations, and regulatory conflicts. Their actions often prioritize short-term profit over system-wide improvements, creating friction in the telecommunications ecosystem rather than enhancing coordination."
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982,0.13%,0.3,0.4,-0.2,0.24,0.36,-0.14,Anti-serious,Expanding healthcare access while maintaining profitability in the evolving US healthcare landscape,"Cigna contributes positively to resource availability through capital investment in healthcare infrastructure and technology (E_adj: 0.24). Its efficiency improvements through digital health solutions, preventative care programs, and pharmacy benefit management enhance system throughput (v_adj: 0.36). However, Cigna's profit-maximizing incentives create misalignment between corporate interests and healthcare system needs, contributing to system fragmentation, administrative burden, and access barriers (alpha_adj: -0.14). This negative impact on coordination makes Cigna anti-serious despite positive contributions to resources and efficiency."
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,0.04%,0.45,0.55,0.4,0.41,0.52,0.34,Serious,Maintaining financial stability and growth as a property casualty insurer while expanding market share,"Cincinnati Financial demonstrates seriousness through substantial resource commitment to the US economy via insurance payouts, investments, and employment (E). Their efficient infrastructure of independent agents and claims processing systems improves resource utilization across multiple states (v). The company enhances coordination within the US economic system through standardized risk management practices and stable financial services that reduce uncertainty for businesses and individuals (α). Their long-term operational stability and consistent financial performance indicate sufficient activation energy to maintain their market position and fulfill their insurance obligations."
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,0.10%,0.3,0.5,0.4,0.27,0.45,0.36,Serious,Maintaining market leadership while transitioning to more sustainable business practices,"Colgate-Palmolive demonstrates seriousness through its substantial economic contributions to the US economy via employment, manufacturing, and R&D investments (positive E). The company has improved infrastructure efficiency through supply chain optimizations and manufacturing innovations that increase resource utilization (positive v). Their standardization of manufacturing practices, community health initiatives, and consistent product quality contribute to social coordination and reliable consumer behavior patterns (positive alpha). Their committed resources toward sustainability transitions and maintaining market leadership are substantial enough to cross activation thresholds, making their efforts physically consequential rather than merely symbolic."
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,0.02%,0.45,0.6,0.3,0.41,0.57,0.26,Serious,Maintaining market leadership in cleaning and disinfection products while advancing sustainability initiatives,"Clorox demonstrates seriousness through tangible contributions to the US system. It adds resources (E) through domestic manufacturing, job creation, and tax base. Its infrastructure efficiency (v) is evidenced by production scaling during crises and optimization of supply chains. Its contribution to order (α) manifests in standardized sanitation practices and public health coordination. The company commits substantial capital and organizational resources toward maintaining critical cleaning infrastructure while advancing sustainability goals, representing a non-trivial activation energy that wouldn't spontaneously occur without directed effort."
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,0.18%,0.4,0.3,-0.2,0.24,0.21,-0.16,Anti-serious,Maintaining and expanding broadband infrastructure while transitioning to next-generation connectivity technologies,"Comcast contributes positively to America's resource base through substantial infrastructure investment and provides efficiency through its network capabilities. However, its negative impact on system coordination through monopolistic practices, lobbying against municipal broadband, implementing artificial scarcity via data caps, and poor customer service creates significant friction in the national digital ecosystem. The company's actions often prioritize rent extraction over system optimization, creating barriers to digital inclusion and innovation that outweigh its positive contributions to infrastructure."
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,0.16%,0.65,0.8,0.7,0.59,0.76,0.6,Serious,Maintaining and enhancing US financial market infrastructure and global competitiveness,"CME Group demonstrates seriousness through its substantial contributions to US financial infrastructure. It adds resources to the system by facilitating capital formation and risk transfer (E dimension). Its technological platforms, clearing mechanisms, and market structures significantly enhance the efficiency of resource allocation in the economy (v dimension). By providing standardized contracts, transparent pricing, and reliable settlement systems, CME Group reduces market disorder and enables coordinated economic activity (α dimension). These contributions require substantial capital, expertise, and regulatory relationships that few other entities could mobilize."
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,0.09%,0.3,0.5,0.2,0.27,0.45,0.18,Serious,Maintaining sustainable growth while improving food safety standards and supply chain resilience,"Chipotle demonstrates seriousness through substantial resource commitments to sustainable agriculture and local food systems (E), significant improvements in operational efficiency and food safety protocols (v), and moderate contributions to social cohesion through employment practices and transparency (α). The company has invested hundreds of millions in food safety systems, supply chain improvements, and digital infrastructure following its 2015-2016 crisis. These investments represent substantial activation energy directed toward a more resilient and sustainable food system, not merely maintaining the status quo of fast food."
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919,0.09%,0.65,0.75,0.4,0.52,0.64,0.28,Serious,Maintaining leadership in power solutions while transitioning to cleaner technologies,"Cummins demonstrates seriousness through substantial resource commitments to US manufacturing and R&D, maintaining critical industrial infrastructure while investing in future technologies. The company enhances system efficiency through its extensive service network and manufacturing processes that improve energy utilization. Its transition strategy toward cleaner technologies while maintaining existing infrastructure represents a balanced approach to order, avoiding both chaotic disruption and stagnation. Cummins' investments in hydrogen and electrification technologies show forward-looking resource allocation aligned with long-term system needs."
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,0.04%,0.6,0.7,0.4,0.5,0.59,0.34,Serious,Transition to cleaner energy generation while maintaining grid reliability in Michigan,"CMS Energy demonstrates seriousness through substantial capital investments in energy infrastructure modernization and renewable energy development. The company is adding net resources to the United States energy system (E) by developing new generation capacity while phasing out less efficient sources. Its grid modernization efforts and efficiency programs significantly improve resource utilization (v) by reducing waste and improving reliability. The company's coordinated approach to energy transition, including stakeholder engagement and regulatory alignment, enhances system order (α) despite the complexity of managing this transition. Their accelerated timeline for coal retirement shows commitment beyond minimum regulatory requirements."
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,0.03%,0.4,0.35,0.15,0.36,0.3,0.11,Serious,Expanding healthcare access and affordability through managed care services while maintaining financial sustainability,"Centene Corporation demonstrates seriousness through substantial resource allocation to healthcare infrastructure serving vulnerable populations. Its managed care operations inject significant resources (E) into the US healthcare system while its technology investments and care coordination programs improve efficiency (v) of healthcare delivery. Though its coordination impact (α) is modest due to fragmentation in US healthcare, Centene has sufficient capital, regulatory relationships, and operational scale to achieve meaningful healthcare access expansion. Its focus on government programs addresses market failures in healthcare provision for underserved populations, representing a non-spontaneous contribution to system stability."
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,0.04%,0.65,0.7,0.4,0.47,0.6,0.24,Serious,Transition to cleaner energy while maintaining grid reliability and affordability,"CenterPoint Energy demonstrates seriousness through substantial infrastructure investments that increase both energy availability and efficiency. Their grid modernization efforts improve resource utilization while their transition to cleaner energy sources adds net resources to the US energy system. Their coordination of complex systems across multiple states, despite occasional failures during extreme events, shows positive contribution to system order. Their committed capital expenditures represent substantial activation energy toward their stated goals, not merely incremental improvements."
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1994,0.22%,0.45,0.6,0.25,0.36,0.54,0.18,Serious,Continued growth as a major financial institution with enhanced digital banking capabilities and expanded market share,"Capital One demonstrates seriousness through substantial resource commitment to the US economy via lending, employment, and infrastructure investment. Its technological innovations have significantly improved efficiency in financial services, creating new capabilities for resource utilization within the banking system. While its contribution to social order is more modest, its financial inclusion initiatives and standardized banking practices provide structure that enables economic participation. Its data-driven approach to banking has fundamentally changed how financial resources are allocated in the US economy."
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",2025-05-19,1679788,2012,0.15%,0.65,0.75,0.4,0.52,0.68,0.28,Serious,Establishing cryptocurrency as a mainstream financial asset class with regulatory clarity in the US,"Coinbase demonstrates seriousness by directing substantial resources toward building cryptocurrency infrastructure in the US, improving the efficiency of digital asset markets, and establishing order through regulatory compliance frameworks. The company has committed significant capital, technical expertise, and regulatory engagement to create a bridge between traditional finance and cryptocurrency innovation. Their efforts have materially advanced the integration of digital assets into the US financial system, despite regulatory headwinds. Coinbase's work represents a deliberate attempt to harness a new technological paradigm rather than merely exploiting it."
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,0.02%,0.45,0.6,0.3,0.41,0.57,0.26,Serious,"Continued growth and innovation in specialty healthcare markets, particularly in vision care and women's health","Cooper Companies demonstrates seriousness through substantial contributions to the US healthcare system. It adds resources (E) through job creation, tax revenue, and healthcare product manufacturing. Its infrastructure investments (v) improve healthcare delivery efficiency through specialized medical devices that enhance treatment options and outcomes. The company positively affects coordination (α) by creating standardized healthcare solutions that enable better patient care and provider effectiveness. Their consistent R&D investment and strategic growth demonstrate the capacity to overcome activation barriers to reach meaningful healthcare milestones."
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,0.18%,0.7,0.6,-0.2,0.56,0.51,-0.14,Anti-serious,Maintaining energy security while transitioning to lower carbon operations,"ConocoPhillips substantially contributes to US energy resources (E) through significant domestic oil and gas production, providing critical inputs to the economy and energy security. Its technological investments and operational efficiency improvements (v) enhance resource utilization through reduced emissions intensity and advanced extraction techniques. However, its continued expansion of fossil fuel infrastructure works against long-term system coordination (α) by reinforcing carbon-intensive pathways that increase climate instability and social division, despite some climate commitments. This creates a mixed impact that ultimately undermines system stability."
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,0.10%,0.65,0.78,0.45,0.6,0.74,0.38,Serious,Continued optimization of pharmaceutical distribution network and healthcare supply chain in the US,"Cencora demonstrates seriousness through its substantial contribution to US pharmaceutical resource distribution (E), significant investments in logistics infrastructure and technology that improve system efficiency (v), and coordination services that reduce disorder in the healthcare supply chain (α). The company commits substantial capital and organizational resources to maintain and improve the pharmaceutical distribution network, with demonstrated capacity to achieve its milestones. Its nationwide infrastructure represents a thermodynamically significant system that enables the efficient flow of critical medical resources throughout the US healthcare ecosystem."
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,0.69%,0.65,0.78,0.45,0.62,0.78,0.38,Serious,Continued expansion of warehouse retail model with enhanced operational efficiency and market penetration,"Costco demonstrates seriousness through its substantial resource generation (E) via efficient supply chains and high-volume sales that create economic value. Its infrastructure efficiency (v) is exceptional, with streamlined operations, minimal SKUs, and strategic store layouts that maximize throughput per square foot. Costco's contribution to order (α) is evidenced by its stable employment practices, consistent quality standards, and reliable business model that creates predictability for both consumers and suppliers. This combination of resource creation, operational efficiency, and system stability represents a coherent approach to retail that has demonstrated sustained viability."
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454,2000,0.03%,0.3,0.65,0.25,0.24,0.62,0.18,Serious,Continued expansion of B2B payment solutions and cross-border payment infrastructure in the US market,"Corpay demonstrates seriousness through substantial investments in payment infrastructure that tangibly improves resource utilization efficiency across the US economy. Their B2B payment solutions reduce friction in commercial transactions, allowing businesses to operate more efficiently. While not directly adding significant new resources to the system, Corpay's technology meaningfully increases the velocity and efficiency of existing capital flows. Their cross-border payment capabilities also strengthen the US position in global commerce, creating modest improvements in system coordination."
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869,0.01%,0.3,0.4,0.15,0.24,0.34,0.11,Serious,Maintaining market leadership in soup industry while expanding into healthier food options,"Campbell's demonstrates seriousness through substantial resource commitment to the US food system, contributing raw materials, employment, and tax revenue (positive E). Their manufacturing infrastructure and supply chain optimization improve system efficiency (positive v), while their brand consistency and corporate culture provide moderate coordination benefits (positive alpha). Their multi-billion dollar investments in production facilities, product innovation, and sustainability initiatives represent substantial activation energy toward system improvement rather than mere maintenance of the status quo."
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,0.07%,0.45,0.7,0.3,0.45,0.7,0.3,Serious,Continued expansion of vehicle remarketing infrastructure and digital auction platforms,"Copart demonstrates seriousness through its development of resource-efficient systems for vehicle remarketing. By creating a global marketplace for damaged vehicles, they've added substantial economic value (E) by preventing waste and extracting maximum utility from automotive assets. Their proprietary technology platform and nationwide logistics infrastructure (v) have dramatically improved the efficiency of vehicle remarketing. Their business model has introduced coordination (α) to what was previously a fragmented industry, creating standardized processes and connecting diverse market participants. Their substantial capital investments and technological development show commitment matching the activation energy required."
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,906345,1981,0.02%,0.45,0.55,0.3,0.36,0.5,0.21,Serious,Continued expansion and maintenance of high-quality multifamily housing portfolio while implementing sustainability initiatives,"Camden Property Trust demonstrates seriousness through substantial resource commitment to housing infrastructure in the US. Its development and management of 58,000+ apartment homes represents significant energy input (E) into the housing system. The company's implementation of efficiency technologies and sustainability initiatives improves resource utilization (v) across its portfolio. Its corporate culture and community engagement programs foster coordination (α) among employees and residents. With sufficient capital deployment to achieve meaningful scale, Camden has crossed the activation threshold required to impact the US housing ecosystem."
